,cod_nf,cod_prod,cpf_c,email_c,contato_c,valor,quantidade
75,0000000075,SKU00644,800.155.807-09,ricardobrenooliveira__ricardobrenooliveira@azulcargo.com.br,98891-1394,R$ 79,56
76,0000000076,SKU00560,396.091.856-90,isaacyagodarosa..isaacyagodarosa@muricy.com,98133-6866,R$ 75,59
77,0000000077,SKU00063,398.935.367-58,jaquelinekamillyfernandes-94@deskprint.com.br,98551-9736,R$ 51,68
78,0000000078,SKU00105,933.935.191-66,carolinecarolinanairalmeida-88@hotelruby.com.br,98415-0577,R$ 78,70
79,0000000079,SKU00675,461.346.229-07,enzobeneditoguilhermebernardes_@smbcontabil.com.br,98239-1522,R$ 50,97
80,0000000080,SKU00877,742.608.270-90,vvanessaisabellalunadacosta@10clic.com.br,99988-8386,R$ 91,55
81,0000000081,SKU00067,431.955.904-50,beneditoemanueliagopereira-83@mindesign.com.br,98445-0994,R$ 86,50
82,0000000082,SKU00874,347.416.653-05,cesarleonardofilipedamota__cesarleonardofilipedamota@cvc.com.br,99574-4575,R$ 62,55
83,0000000083,SKU00883,150.953.497-01,emanuelseverinodaconceicao-83@panevale.com.br,99188-3929,R$ 94,69
84,0000000084,SKU00828,258.137.928-64,andreotaviodiegoviana-77@gmnail.com,98580-2137,R$ 76,52
85,0000000085,SKU00877,539.438.749-40,noahricardonogueira_@uol.com,99658-1998,R$ 74,98
86,0000000086,SKU00421,235.626.603-83,nelsonjuanpietronovaes..nelsonjuanpietronovaes@sfreitasadvogados.com.br,98178-8708,R$ 86,88
87,0000000087,SKU00030,769.193.486-67,jaquelineemanuellypires-75@impactatp.com.br,98162-7803,R$ 87,81
88,0000000088,SKU00516,483.431.378-68,otaviojoaovictorporto_@dbacomp.com.br,99996-7835,R$ 87,63
89,0000000089,SKU00491,881.344.085-59,fatimacarolinaisabellegoncalves__fatimacarolinaisabellegoncalves@triunfante.com.br,99487-6515,R$ 74,58
90,0000000090,SKU00543,787.462.734-25,raulheitornunes__raulheitornunes@grupoamericaville.com.br,99478-3289,R$ 50,83
91,0000000091,SKU00150,102.655.685-60,tiagogaelgoncalves_@msn.com,99599-9406,R$ 66,92
92,0000000092,SKU00516,277.684.658-49,rodrigotomassebastiaocaldeira-79@cmfcequipamentos.com.br,98167-8995,R$ 87,77
93,0000000093,SKU00181,628.750.834-57,melissacamilabrunaduarte-96@nipbr.com,98976-9776,R$ 75,81
94,0000000094,SKU00570,809.525.314-61,pietrotomasalexandrecortereal_@ggm.com.br,98264-4224,R$ 56,96
95,0000000095,SKU00670,164.356.846-93,thiagocalebebaptista-97@mmetalica.com.br,99821-5132,R$ 62,90
96,0000000096,SKU00535,002.979.475-75,antonellalauraestherdacunha__antonellalauraestherdacunha@saboia.me,99987-8383,R$ 58,92
97,0000000097,SKU00004,770.301.002-20,auroralorenasouza..auroralorenasouza@psq.med.br,99504-5354,R$ 76,52
98,0000000098,SKU00619,653.935.413-41,elzalucianagiovannaaragao__elzalucianagiovannaaragao@saae.sp.gov.br,98461-8902,R$ 92,73
99,0000000099,SKU00991,404.021.835-33,thalesbernardobrito__thalesbernardobrito@asproplastic.com.br,98645-6969,R$ 91,94
100,0000000100,SKU00141,016.788.405-05,iisissebastianafigueiredo@infonet.com.br,99775-4756,R$ 73,69
101,0000000101,SKU00010,745.155.485-65,ssebastiaoantoniomarcosbrito@corpus.com.br,98231-5253,R$ 55,95
102,0000000102,SKU00475,409.305.699-46,joanarafaelaelzaalves-85@danzarin.com.br,99892-7074,R$ 60,99
103,0000000103,SKU00561,934.288.649-30,marcosviniciusyagoaparicio_@ericsson.com,99178-6111,R$ 85,53
104,0000000104,SKU00660,847.751.565-43,eduardaluizagiovanacastro..eduardaluizagiovanacastro@afsn.com.br,99647-6425,R$ 74,67
105,0000000105,SKU00359,215.554.844-33,hadassacarlaferreira..hadassacarlaferreira@br.gestant.com,98294-3508,R$ 56,77
106,0000000106,SKU00377,714.840.551-36,terezaalinedias-80@prestec.com.br,98888-1288,R$ 57,56
107,0000000107,SKU00188,300.102.387-27,kkauelucasmanueldossantos@facebook.com,99729-2029,R$ 89,88
108,0000000108,SKU00571,814.522.229-08,tiagomanuelcaleberezende_@reval.net,98264-5329,R$ 52,79
109,0000000109,SKU00477,267.978.040-00,gabriellyevelynmirelladepaula..gabriellyevelynmirelladepaula@catsfeelings.com.br,99742-7292,R$ 51,51
110,0000000110,SKU00985,281.520.650-13,fernandasabrinabarros-80@etep.edu.br,98747-2540,R$ 80,84
111,0000000111,SKU00262,053.142.276-30,julialunaandreagoncalves__julialunaandreagoncalves@argosmineracao.com.br,99575-5414,R$ 87,53
112,0000000112,SKU00212,984.607.291-09,osvaldojuanoliveira-82@profemme.com.br,99498-6652,R$ 95,85
113,0000000113,SKU00082,791.021.422-79,nairteresinharayssamonteiro-77@pp33.com.br,99251-9889,R$ 78,72
114,0000000114,SKU00463,389.621.326-13,brunodiogokauebarbosa..brunodiogokauebarbosa@prifree.fr,98126-1858,R$ 56,50
115,0000000115,SKU00002,578.521.524-14,vitoriaagathasilveira_@sadefem.com.br,98289-1982,R$ 90,55
116,0000000116,SKU00175,834.478.860-99,caionicolasnunes-78@tlmix.com.br,99159-2979,R$ 52,84
117,0000000117,SKU00963,035.377.394-86,calebedanielsantos..calebedanielsantos@thewishes.com.br,99556-8969,R$ 94,76
118,0000000118,SKU00470,403.495.128-17,veraheloisemarlenealves-93@viasegbrasil.com.br,99981-7344,R$ 64,91
119,0000000119,SKU00739,731.237.340-21,elianesaraaraujo..elianesaraaraujo@grupoitaipu.com.br,99123-8549,R$ 98,69
120,0000000120,SKU00601,695.180.277-73,raquellauralarissarezende__raquellauralarissarezende@granvale.com.br,99458-0406,R$ 53,62
121,0000000121,SKU00512,560.700.661-11,sabrinafernandahadassafarias-79@bzness.com.br,98310-8405,R$ 66,62
122,0000000122,SKU00931,336.969.212-03,guilhermeigorgoncalves..guilhermeigorgoncalves@eximiart.com.br,99247-1812,R$ 87,81
123,0000000123,SKU00469,119.036.530-88,mmarianeesteremilyrodrigues@wizardsjc.com.br,98426-7767,R$ 67,70
124,0000000124,SKU00965,234.544.218-29,leandromarcoscarvalho-95@zf.com,98308-9802,R$ 67,81
125,0000000125,SKU00828,024.125.197-49,ddiogoyurifabiocosta@custodes.com.br,99696-9809,R$ 75,57
126,0000000126,SKU00795,440.282.571-74,bryanjuantheoalves__bryanjuantheoalves@virtualcriativa.com.br,99557-4829,R$ 74,89
127,0000000127,SKU00698,717.643.210-49,fatimaaylateresinhamartins__fatimaaylateresinhamartins@flex-erp.com,99197-7441,R$ 68,96
128,0000000128,SKU00005,395.446.480-20,livialuzianunes_@wwlimpador.com.br,99484-7128,R$ 87,63
129,0000000129,SKU00557,961.003.759-31,murilorenancosta_@lojabichopapao.com.br,99997-7474,R$ 98,76
130,0000000130,SKU00270,441.212.521-10,emanuelleonardodepaula..emanuelleonardodepaula@ladder.com.br,98812-7571,R$ 55,97
131,0000000131,SKU00300,019.195.257-50,arthuredsonlima-86@alesalvatori.com,98872-2170,R$ 79,93
132,0000000132,SKU00477,136.179.909-91,lleticiastefanysophiedrumond@riobc.com.br,99927-7739,R$ 86,98
133,0000000133,SKU00951,271.092.266-54,rodrigoandersonbryanjesus..rodrigoandersonbryanjesus@rodrigofranco.com,99251-4233,R$ 99,100
134,0000000134,SKU00779,549.274.122-53,raqueleduardadossantos__raqueleduardadossantos@cenavip.com.br,98727-2203,R$ 90,52
135,0000000135,SKU00611,576.580.942-18,diogonoahfarias_@netsite.com.br,98316-2456,R$ 59,73
136,0000000136,SKU00871,469.108.166-68,yasminestheremanuellygalvao..yasminestheremanuellygalvao@centrovias.com.br,99723-6877,R$ 79,89
137,0000000137,SKU00652,236.927.109-41,nicolasmiguelbryanpeixoto-72@publiout.com.br,99452-0297,R$ 81,78
138,0000000138,SKU00638,075.531.591-07,aantonioheitoriagomelo@fictor.com.br,99850-6592,R$ 59,55
139,0000000139,SKU00541,026.882.147-05,pietroantonioalmeida..pietroantonioalmeida@davimil.com.br,99157-6662,R$ 57,57
140,0000000140,SKU00090,010.127.991-40,bbeatriztaniarezende@iaru.com,99803-8289,R$ 82,56
141,0000000141,SKU00218,547.050.522-77,rrenatoryanaugustofigueiredo@bseletronicos.com.br,99714-1947,R$ 99,79
142,0000000142,SKU00885,059.023.327-02,andreianbrunodacruz__andreianbrunodacruz@hormail.com,99919-8711,R$ 64,68
143,0000000143,SKU00149,646.802.417-05,danielaverarodrigues-87@fluxioneventos.com.br,98443-6363,R$ 94,81
144,0000000144,SKU00057,402.078.116-87,brendapatriciabrito-73@valedesign.com.br,98568-7265,R$ 83,59
145,0000000145,SKU00558,760.982.714-29,josericardobrenodacruz_@msn.com,98884-3929,R$ 90,53
146,0000000146,SKU00132,915.592.260-05,larasophiacampos-78@tursi.com.br,98202-8320,R$ 57,77
147,0000000147,SKU00628,554.880.592-45,nnicolesebastianafarias@shimu.com.br,99645-2520,R$ 72,50
148,0000000148,SKU00027,468.716.386-60,rodrigovicentegaeldaconceicao..rodrigovicentegaeldaconceicao@unilever.com,98835-4276,R$ 89,100
149,0000000149,SKU00125,387.322.069-50,llaviniamarlenejosefasilveira@seal.com.br,98243-6264,R$ 100,72
150,0000000150,SKU00314,355.360.532-48,suelirebecabarbosa..suelirebecabarbosa@engeseg.com.br,99835-8691,R$ 53,68
151,0000000151,SKU00640,463.963.888-47,iagothomasporto_@br.flextronics.com,98889-0846,R$ 55,65
152,0000000152,SKU00281,357.823.453-22,luccanathanbentoferreira-86@credendio.com.br,99635-2959,R$ 63,73
153,0000000153,SKU00432,026.474.855-77,feliperobertoyagoaraujo-90@securitycontrol.com.br,99281-9215,R$ 81,63
154,0000000154,SKU00985,162.678.801-41,pietraisabellylaisbarbosa_@iedi.com.br,99646-5021,R$ 52,67
155,0000000155,SKU00776,425.039.263-55,eliasmanoellima__eliasmanoellima@andrepires.com.br,99895-9344,R$ 51,55
156,0000000156,SKU00879,783.833.057-29,vvalentinacarolinapires@yahho.com.br,99164-2890,R$ 94,50
157,0000000157,SKU00261,901.513.686-60,raimundogeraldogomes_@accent.com.br,98663-9019,R$ 97,70
158,0000000158,SKU00865,062.928.379-63,marcosleandrodanilolopes_@eptv.com.br,98563-3122,R$ 76,78
159,0000000159,SKU00492,258.912.870-30,heloisaisabellerayssagoncalves__heloisaisabellerayssagoncalves@wikimetal.com.br,99640-1360,R$ 56,59
160,0000000160,SKU00621,553.690.231-82,mirellarebecamoura..mirellarebecamoura@sunrise.com.br,99493-7043,R$ 75,84
161,0000000161,SKU00840,670.046.171-57,jennifermarianaalanasales__jennifermarianaalanasales@ig.com.br,98627-8940,R$ 97,97
162,0000000162,SKU00172,575.725.224-32,cesarluizrafaelfigueiredo..cesarluizrafaelfigueiredo@mantegassi.com,99201-1831,R$ 76,63
163,0000000163,SKU00558,675.944.429-97,claricejaquelinedapaz-88@tlmix.com.br,98690-8605,R$ 81,58
164,0000000164,SKU00854,233.195.389-93,melissarenatacaldeira_@academiaconcerto.art.br,99286-1085,R$ 56,57
165,0000000165,SKU00223,263.415.453-47,henriquebentoviana..henriquebentoviana@ozzape.com,99897-1269,R$ 86,54
166,0000000166,SKU00325,933.555.308-59,rosaoliviafigueiredo..rosaoliviafigueiredo@dedicasa.com.br,99542-9899,R$ 59,81
167,0000000167,SKU00904,545.772.226-04,beneditosamuelhenryalmeida_@yogoothies.com.br,99266-2299,R$ 78,76
168,0000000168,SKU00146,731.906.362-06,bbrenomarcosviniciusaraujo@signatreinamentos.com.br,99490-7980,R$ 95,99
169,0000000169,SKU00808,047.107.298-24,elzaisabelassuncao-85@konzeption.com.br,98633-6723,R$ 65,98
170,0000000170,SKU00754,649.864.068-50,cceciliamarcelacarvalho@europamotors.com.br,99820-2176,R$ 75,94
171,0000000171,SKU00721,904.936.057-20,rebecaterezanunes-88@bluewash.com.br,99308-9670,R$ 73,56
172,0000000172,SKU00164,046.653.887-17,marciajessicavanessadasneves..marciajessicavanessadasneves@jpmanager.com.br,99281-9813,R$ 88,77
173,0000000173,SKU00910,740.224.986-76,edsonmariomurilodacruz__edsonmariomurilodacruz@gemail.com,99162-4909,R$ 95,64
174,0000000174,SKU00549,090.474.079-03,tiagojosemiguelrodrigues-81@sfranconsultoria.com.br,99422-3791,R$ 66,86
175,0000000175,SKU00059,579.037.382-83,ppedroleandrobernardes@reginfo.com.br,99943-3843,R$ 87,78
176,0000000176,SKU00898,996.427.314-28,ppaulomartinjoaquimjesus@email.tst,98365-2516,R$ 54,50
177,0000000177,SKU00683,790.612.747-10,helenaraquelestherdamata-97@naressi.com.br,98840-7468,R$ 96,70
178,0000000178,SKU00366,403.246.116-33,ppietracatarinaemillydepaula@thibe.com.br,99993-1886,R$ 59,53
179,0000000179,SKU00628,495.097.969-80,tomassergiobernardes__tomassergiobernardes@aulicinobastos.com.br,99156-1759,R$ 100,93
180,0000000180,SKU00785,970.602.087-04,laisheloisagoncalves..laisheloisagoncalves@yahoo.com.br,99695-4541,R$ 67,79
181,0000000181,SKU00756,093.752.686-08,ninaluziajoanadossantos__ninaluziajoanadossantos@viacabonet.com.br,98363-6845,R$ 99,52
182,0000000182,SKU00659,568.606.355-92,ccarlabeneditasarafreitas@teofilorezende.com.br,99607-1964,R$ 95,79
183,0000000183,SKU00249,826.812.692-29,kaiquevicenteianpereira-82@ativacofres.com.br,99546-3040,R$ 70,80
184,0000000184,SKU00023,547.122.646-16,aantonellaisabellyadrianasantos@tglaw.com.br,98940-4358,R$ 90,66
185,0000000185,SKU00161,161.554.563-80,fernandarebecaalmeida..fernandarebecaalmeida@ornatopresentes.com.br,98148-9896,R$ 65,83
186,0000000186,SKU00442,928.456.579-00,jessicadeborarosangelarezende__jessicadeborarosangelarezende@live.co.uk,99312-7647,R$ 56,64
187,0000000187,SKU00688,605.288.946-25,gustavothalesdarosa__gustavothalesdarosa@gmapst.com,98484-3747,R$ 87,69
188,0000000188,SKU00347,609.397.873-77,thiagojoaoedsoncastro__thiagojoaoedsoncastro@avoeazul.com.br,98488-2492,R$ 82,87
189,0000000189,SKU00712,698.627.917-56,caueluizdamata_@soutorigotti.com.br,98216-1365,R$ 93,66
190,0000000190,SKU00425,790.675.578-20,carlasophiayasminbarbosa__carlasophiayasminbarbosa@valparaibaimoveis.com.br,98440-0035,R$ 52,95
191,0000000191,SKU00356,995.776.162-59,ninavanessacarvalho__ninavanessacarvalho@cabletech.com.br,99461-6758,R$ 84,61
192,0000000192,SKU00705,697.973.362-12,sebastianasilvanajenniferdarosa..sebastianasilvanajenniferdarosa@ornatopresentes.com.br,99133-8237,R$ 66,91
193,0000000193,SKU00318,216.822.547-80,ssimonecarolinabeneditadamota@viamoc.com.br,99124-2109,R$ 69,90
194,0000000194,SKU00378,893.233.435-87,pietraraquelcastro_@dpi.indl.com.br,99315-8271,R$ 95,52
195,0000000195,SKU00788,427.252.903-09,jaquelinecarolinateixeira__jaquelinecarolinateixeira@gmaill.com,99476-4010,R$ 94,50
196,0000000196,SKU00813,197.782.566-40,marcosviniciusthalesdasneves__marcosviniciusthalesdasneves@uniube.br,98655-7889,R$ 98,50
197,0000000197,SKU00788,657.123.974-47,yagoseverinocavalcanti-72@live.com.pt,99881-1388,R$ 53,65
198,0000000198,SKU00326,693.508.750-39,cauerenatoenricoteixeira-94@lbrazil.com.br,99969-4591,R$ 90,69
199,0000000199,SKU00285,893.526.627-25,luizgaelianmartins..luizgaelianmartins@danzarin.com.br,99391-7986,R$ 73,57
200,0000000200,SKU00999,530.809.569-82,gustavocarlosgaelpires-73@advogadosempresariais.com.br,99445-1778,R$ 50,92
201,0000000201,SKU00661,458.725.323-50,hadassagabriellybeatrizrezende..hadassagabriellybeatrizrezende@recatec.com.br,98194-5828,R$ 52,51
202,0000000202,SKU00101,956.739.688-41,joseclaudiodasneves_@ddfnet.com.br,99850-7603,R$ 76,63
203,0000000203,SKU00086,475.205.909-68,bbenicioedsonjosedasilva@bidoul.eng.br,98826-8923,R$ 59,59
204,0000000204,SKU00138,073.947.088-45,leticialauramoraes_@dcabr.org.br,98356-1794,R$ 89,67
205,0000000205,SKU00914,589.955.223-99,ssarahjenniferheloisedasneves@centrovias.com.br,99794-3968,R$ 72,88
206,0000000206,SKU00982,916.631.528-02,yyurimartinsebastiaomendes@marcati.com,98568-6224,R$ 88,58
207,0000000207,SKU00680,171.248.219-08,pietrajaquelinemartins..pietrajaquelinemartins@djapan.com.br,99821-9361,R$ 96,81
208,0000000208,SKU00907,061.466.162-57,lorenzokaueyuriaraujo_@termakui.com.br,98395-8848,R$ 66,57
209,0000000209,SKU00668,477.949.204-18,aparecidasarahclarafigueiredo..aparecidasarahclarafigueiredo@moppe.com.br,99369-5233,R$ 66,67
210,0000000210,SKU00100,418.205.027-40,lizliviaandreasilveira_@ferplast.com.br,98498-3034,R$ 72,98
211,0000000211,SKU00649,637.597.142-00,mmarciajulianafogaca@lavabit.com,99799-0863,R$ 77,76
212,0000000212,SKU00552,406.342.120-10,fabianaantoniaviana..fabianaantoniaviana@grupoannaprado.com.br,99637-3450,R$ 89,76
213,0000000213,SKU00679,763.734.138-02,henryvictorfogaca_@resource.com.br,99559-9735,R$ 76,88
214,0000000214,SKU00414,419.286.925-08,victorricardojesus_@clickfios.com.br,98767-5826,R$ 60,59
215,0000000215,SKU00472,734.456.073-97,fernandaelianepinto-75@velc.com.br,98202-6662,R$ 62,58
216,0000000216,SKU00760,903.633.078-50,aalessandraluciatatianepereira@csa.edu.br,98861-6574,R$ 68,90
217,0000000217,SKU00125,916.702.502-10,giovanaluizadanieladepaula-87@lukin4.com.br,99475-0067,R$ 59,80
218,0000000218,SKU00257,156.361.274-72,giovanabarbaralarissabaptista..giovanabarbaralarissabaptista@semco.com.br,99957-1300,R$ 64,61
219,0000000219,SKU00932,034.210.382-28,adrianafabianaferreira__adrianafabianaferreira@conexao.com,99373-6064,R$ 78,63
220,0000000220,SKU00628,454.071.180-68,nairjaquelinejesus..nairjaquelinejesus@latapack.com.br,98591-7180,R$ 73,58
221,0000000221,SKU00305,365.025.864-14,bbrunoseverinomendes@grupoamericaville.com.br,98786-8236,R$ 96,94
222,0000000222,SKU00210,361.940.343-00,joaquimfabiomoraes..joaquimfabiomoraes@lumavale.com.br,98382-0804,R$ 82,64
223,0000000223,SKU00469,422.294.641-91,nairmariamoura-80@daruma.com.br,98825-9785,R$ 68,99
